City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
196,Gat,IL,83.79,clear sky,31.61,34.7642,OlusHome
200,Red Bluff,US,82.11,clear sky,40.1785,-122.2358,Hampton Inn & Suites Red Bluff
204,Borzya,RU,81.95,overcast clouds,50.3833,116.5167,Tikhiy
205,Tura,IN,75.06,overcast clouds,25.5198,90.2201,Hotel RIKMAN Continental
208,Champerico,GT,81.03,overcast clouds,14.3,-91.9167,"Hotel y restaurante ""El Diamante"""
210,Mogadishu,SO,78.67,few clouds,2.0371,45.3438,Hotel Juba
213,Nerchinskiy Zavod,RU,77.85,overcast clouds,51.3088,119.61,Tat'yana
215,Yantai,CN,80.85,overcast clouds,37.5333,121.4,Yantai Seaside International Youth Hostel
216,Vizinga,RU,75.78,broken clouds,61.0749,50.1031,"Gostinitsa ""Nadezhda"""
218,Esil,KZ,79.45,overcast clouds,51.9556,66.4042,Egorkino Hotel
220,Kollam,IN,87.67,overcast clouds,8.8833,76.6,Nani Hotels and Resorts
221,Butaritari,KI,83.88,overcast clouds,3.0707,172.7902,Isles Sunset Lodge
224,Asau,RO,77.76,few clouds,46.4333,26.4,Casa Mika Ciobanus
227,Zabolotovka,RU,75.83,clear sky,50.2737,39.3147,Culture House of Sugar
229,Horadiz,AZ,79.57,clear sky,39.4488,47.3353,Horadiz Olympic Center
231,Ojinaga,MX,85.41,clear sky,29.5667,-104.4167,Suites Las Palmas
232,College,US,78.78,clear sky,64.8569,-147.8028,Pike's Waterfront Lodge
238,Hambantota,LK,88.14,few clouds,6.1241,81.1185,Bungalow 63
242,Katsuura,JP,89.71,clear sky,35.1333,140.3,Katsuura Hotel Mikazuki
245,Princeton,US,82.02,broken clouds,25.5384,-80.4089,American Best Inn
248,Kanniyakumari,IN,86.88,overcast clouds,8.0833,77.5667,Sparsa
249,Bull Savanna,JM,75.36,overcast clouds,17.8868,-77.5902,Big Red's
250,Georgetown,MY,89.55,few clouds,5.4112,100.3354,Cititel Penang
254,Iquitos,PE,75.24,few clouds,-3.7481,-73.2472,Casa Morey Hotel & Restaurant
255,Xuanzhou,CN,76.53,light rain,30.9525,118.7553,Nanfang Hotel
263,Chifeng,CN,85.1,broken clouds,42.2683,118.9636,Junyu Tiancheng Hotel
265,Tecoanapa,MX,77.09,overcast clouds,16.5167,-98.75,Hotel Manglares
269,Vanimo,PG,84.56,broken clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
271,Honggang,CN,86.58,broken clouds,46.4667,124.8667,亚布力滑雪旅游度假区
272,Hilo,US,75.79,light rain,19.7297,-155.09,Hilo Hawaiian Hotel
273,Semey,KZ,75.42,clear sky,50.4111,80.2275,Grand Hotel Semey
281,Nguru,NG,79.61,broken clouds,12.8791,10.4526,Government Lodge
284,Enshi,CN,82.49,overcast clouds,30.3,109.4833,Moevenpick Enshi
286,Juegang,CN,80.98,light rain,32.3174,121.1855,Rudong Y Hotel
291,Juybar,IR,82.56,broken clouds,36.6412,52.9124,مجتمع مسکونی آرامیس ۲
292,Isangel,VU,78.46,clear sky,-19.55,169.2667,Tanna Lodge
298,Naze,JP,81.52,clear sky,28.3667,129.4833,奄美ポートタワーホテル
309,Panacan,PH,86.09,overcast clouds,9.2463,118.4082,Mom's Place Resort
311,Buala,SB,84.06,scattered clouds,-8.145,159.5921,Maringe Lagoon Lodge
312,Trenggalek,ID,80.33,overcast clouds,-8.05,111.7167,OYO 2966 Hotel Atriaz
315,Sosua,DO,76.98,broken clouds,19.7667,-70.5167,Piergiorgio Palace Hotel
316,Baiquan,CN,87.28,clear sky,47.5833,126.0833,Wenxin Home Leisure Express Hotel
319,Nemuro,JP,86.43,overcast clouds,43.3236,145.575,Hotel Nemuro Kaiyoutei
324,Bathsheba,BB,79.41,few clouds,13.2167,-59.5167,Atlantis Hotel
332,Ixtapa,MX,79.23,overcast clouds,20.7,-105.2,Hotel Plaza Providencia
335,Salalah,OM,78.69,broken clouds,17.0151,54.0924,HAMDAN PLAZA HOTEL SALALAH
338,Bima,ID,89.51,broken clouds,-8.4667,118.7167,Lambitu Hotel
339,Wajir,KE,77.5,overcast clouds,1.7471,40.0573,Al-bustan Hotel And Restaurant.
340,Bogale,MM,87.01,broken clouds,16.2833,95.4,Aung Pin Lel Guest House
344,Samarai,PG,81.75,scattered clouds,-10.6167,150.6667,Nuli Sapi
347,Huoqiu,CN,82.6,light rain,32.3394,116.2694,GreenTree Inn AnHui LuAn HuoQiu JianXing Road Express Hotel
349,Dakar,SN,79.68,scattered clouds,14.6937,-17.4441,Redface Studios Meublés
352,Nan,TH,86.02,scattered clouds,18.8333,100.6667,สะเนียน2
354,Praxedis Guerrero,MX,86.41,broken clouds,31.3667,-106.0167,Iglesia Bautista Dios con Nosotros
359,Garowe,SO,79.29,scattered clouds,8.4054,48.4845,Curubo Hotel
362,Auki,SB,84.85,scattered clouds,-8.7676,160.7034,Auki Motel
364,Bandarbeyla,SO,80.83,broken clouds,9.4942,50.8122,JABIR HOTEL
365,Coahuayana,MX,77.05,overcast clouds,18.7333,-103.6833,El rranchito michuacan de ocampos
369,Nantucket,US,75.0,fog,41.2835,-70.0995,Jared Coffin House
370,Sampang,ID,87.75,moderate rain,-7.1872,113.2394,sekretariat IKA STAIN
371,Surt,LY,79.9,clear sky,31.2089,16.5887,الهادي ابوشعاله سرت
376,Zonguldak,TR,81.5,clear sky,41.25,31.8333,Süleyman Tez Ev
377,Faya,SA,75.31,overcast clouds,18.3851,42.4509,مقبرة ال مجمل
380,Marsa Matruh,EG,79.0,scattered clouds,31.3525,27.2453,Beau Site
383,Mandalgovi,MN,75.78,clear sky,45.7625,106.2708,В.Ганбат
384,Niono,ML,79.36,broken clouds,14.2526,-5.993,Hôtel Campement
386,Laguna,US,80.42,clear sky,38.421,-121.4238,"Holiday Inn Express & Suites Elk Grove Central - Hwy 99, an IHG Hotel"
388,Umm Lajj,SA,89.49,scattered clouds,25.0213,37.2685,Moon light Furnished Units
389,Shimoda,JP,83.1,few clouds,34.6667,138.95,Shimoda Tokyu Hotel
393,Nabire,ID,83.89,broken clouds,-3.3667,135.4833,Hotel Nusantara Nabire
395,Kudahuvadhoo,MV,82.78,broken clouds,2.6708,72.8944,Niyama Private Islands Maldives
399,Chegdomyn,RU,80.91,broken clouds,51.1167,133.0167,Gostinitsa Bureya
408,Salmon Arm,CA,78.12,broken clouds,50.6998,-119.3024,Podollan Inn Salmon Arm
412,Hovd,MN,75.85,overcast clouds,48.0056,91.6419,Hotel Khovd
415,Pangai,TO,78.91,scattered clouds,-19.8,-174.35,Ha'apai Beach Resort
416,San Policarpo,PH,83.1,broken clouds,12.1791,125.5072,JM Lodge
417,Kununurra,AU,87.78,broken clouds,-15.7667,128.7333,Hotel Kununurra
