City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Tallahassee,US,2021-07-16 22:30:07,30.4383,-84.2807,90.52,73,75,4.61
68,Port Alfred,ZA,2021-07-16 22:20:15,-33.5906,26.891,59.88,26,0,9.4
69,Nanortalik,GL,2021-07-16 22:30:10,60.1432,-45.2371,47.82,76,95,11.34
70,Thompson,CA,2021-07-16 22:30:11,55.7435,-97.8558,77.16,50,75,13.8
71,Yellowknife,CA,2021-07-16 22:30:12,62.456,-114.3525,54.32,47,75,1.99
72,Panaba,MX,2021-07-16 22:30:15,21.2833,-88.2667,84.69,64,79,13.89
73,Tura,IN,2021-07-16 22:24:57,25.5198,90.2201,74.08,98,99,6.13
74,Sawakin,SD,2021-07-16 22:30:17,19.1059,37.3321,88.63,53,95,3.09
75,Chuy,UY,2021-07-16 22:23:13,-33.6971,-53.4616,48.16,80,0,5.39
76,Chuzhou,CN,2021-07-16 22:30:17,32.3219,118.2978,73.09,96,100,6.4
77,Tateyama,JP,2021-07-16 22:26:25,34.9833,139.8667,80.1,86,55,5.1
78,Ilulissat,GL,2021-07-16 22:30:18,69.2167,-51.1,57.22,33,94,9.22
79,Nelson Bay,AU,2021-07-16 22:30:19,-32.7167,152.15,58.75,64,22,3.0
80,Ulaangom,MN,2021-07-16 22:30:29,49.9811,92.0667,68.92,48,83,6.89
81,Zhuanghe,CN,2021-07-16 22:30:39,39.7008,122.9911,75.69,90,26,4.41
82,Castro,BR,2021-07-16 22:30:50,-24.7911,-50.0119,56.26,98,100,3.04
83,Torbay,CA,2021-07-16 22:30:50,47.6666,-52.7314,70.57,80,75,11.5
84,College,US,2021-07-16 22:26:59,64.8569,-147.8028,77.58,53,75,6.91
85,Bichena,ET,2021-07-16 22:31:01,10.45,38.2,53.37,90,100,2.06
86,Palmer,US,2021-07-16 22:26:41,42.1584,-72.3287,86.92,77,75,3.44
87,Faanui,PF,2021-07-16 22:31:02,-16.4833,-151.75,80.26,63,18,20.65
88,Dunedin,NZ,2021-07-16 22:29:15,-45.8742,170.5036,48.79,91,59,1.01
89,Susehri,TR,2021-07-16 22:31:03,40.1644,38.0867,65.1,83,0,1.97
90,Vestmannaeyjar,IS,2021-07-16 22:31:03,63.4427,-20.2734,50.74,83,100,12.91
91,Coquimbo,CL,2021-07-16 22:31:14,-29.9533,-71.3436,56.93,71,0,6.91
92,Butaritari,KI,2021-07-16 22:31:24,3.0707,172.7902,84.16,74,77,19.35
93,Cayenne,GF,2021-07-16 22:30:19,4.9333,-52.3333,79.09,85,20,3.44
94,Kavieng,PG,2021-07-16 22:31:25,-2.5744,150.7967,84.49,74,94,14.94
95,Port Elizabeth,ZA,2021-07-16 22:31:25,-33.918,25.5701,43.09,70,0,6.91
96,Camana,PE,2021-07-16 22:31:35,-16.6228,-72.7111,61.07,87,55,8.23
97,Linxia,CN,2021-07-16 22:31:20,35.6003,103.2064,63.1,83,44,3.15
98,Hermanus,ZA,2021-07-16 22:23:23,-34.4187,19.2345,54.9,76,1,6.6
99,North Bend,US,2021-07-16 22:31:36,43.4065,-124.2243,75.24,69,1,11.5
100,Richards Bay,ZA,2021-07-16 22:31:37,-28.783,32.0377,56.37,76,0,7.02
101,Maniitsoq,GL,2021-07-16 22:31:37,65.4167,-52.9,45.54,83,33,9.8
102,Saint-Philippe,RE,2021-07-16 22:31:37,-21.3585,55.7679,69.39,84,65,14.79
103,Viedma,AR,2021-07-16 22:31:38,-40.8135,-62.9967,45.61,56,100,7.83
104,Atasu,KZ,2021-07-16 22:31:48,48.6814,71.6433,58.62,56,66,7.94
105,La Ronge,CA,2021-07-16 22:26:54,55.1001,-105.2842,73.65,38,20,8.05
106,Vao,NC,2021-07-16 22:24:37,-22.6667,167.4833,73.45,89,30,14.12
107,Akyab,MM,2021-07-16 22:31:59,20.15,92.9,80.2,84,100,2.93
108,Tuktoyaktuk,CA,2021-07-16 22:31:59,69.4541,-133.0374,57.2,62,75,8.05
109,Brae,GB,2021-07-16 22:32:10,60.3964,-1.353,55.31,91,69,20.24
110,Beringovskiy,RU,2021-07-16 22:32:20,63.05,179.3167,48.27,89,100,7.09
111,Karasjok,NO,2021-07-16 22:32:20,69.4719,25.5112,53.71,66,44,11.97
112,San Vicente,AR,2021-07-16 22:32:21,-26.6167,-54.1333,50.59,91,1,2.44
113,Grindavik,IS,2021-07-16 22:30:30,63.8424,-22.4338,50.47,87,90,13.8
114,Mount Gambier,AU,2021-07-16 22:26:16,-37.8333,140.7667,48.11,93,75,19.57
115,Cabo San Lucas,MX,2021-07-16 22:32:32,22.8909,-109.9124,97.52,45,1,8.05
116,Avarua,CK,2021-07-16 22:32:32,-21.2078,-159.775,78.85,78,20,17.27
117,Ponta Do Sol,PT,2021-07-16 22:32:43,32.6667,-17.1,72.01,83,3,2.01
118,Okawa,JP,2021-07-16 22:32:43,33.2,130.35,78.04,83,75,5.75
119,Norman Wells,CA,2021-07-16 22:29:55,65.282,-126.8329,64.44,27,40,4.61
120,Cidreira,BR,2021-07-16 22:33:04,-30.1811,-50.2056,55.78,78,4,8.97
121,Caravelas,BR,2021-07-16 22:33:04,-17.7125,-39.2481,71.47,86,1,7.25
122,Naravarikuppam,IN,2021-07-16 22:33:14,13.1956,80.1742,78.69,80,100,7.49
123,Portland,US,2021-07-16 22:30:31,45.5234,-122.6762,81.28,51,75,3.0
124,Margate,GB,2021-07-16 22:33:25,51.3813,1.3862,62.96,84,0,1.99
125,Intipuca,SV,2021-07-16 22:33:25,13.1969,-88.0544,94.89,60,19,6.24
126,Longyearbyen,SJ,2021-07-16 22:33:26,78.2186,15.6401,48.04,76,75,4.61
127,Barrow,US,2021-07-16 22:26:38,71.2906,-156.7887,46.42,76,40,16.11
128,Sao Filipe,CV,2021-07-16 22:24:16,14.8961,-24.4956,74.61,82,0,5.7
129,Lorengau,PG,2021-07-16 22:33:36,-2.0226,147.2712,82.76,82,96,10.16
130,Toamasina,MG,2021-07-16 22:33:47,-18.1667,49.3833,66.2,100,75,12.66
131,Fortuna,US,2021-07-16 22:33:47,40.5982,-124.1573,84.18,70,1,5.99
132,Vila Franca Do Campo,PT,2021-07-16 22:33:57,37.7167,-25.4333,68.41,88,76,7.94
133,Seymchan,RU,2021-07-16 22:26:42,62.8833,152.4333,66.38,56,99,5.46
134,Dikson,RU,2021-07-16 22:33:08,73.5069,80.5464,34.77,92,100,7.94
135,Altamira,BR,2021-07-16 22:33:58,-3.2033,-52.2064,79.47,71,89,2.3
136,Nurota,UZ,2021-07-16 22:34:08,40.5614,65.6886,66.29,32,28,6.13
137,Port Augusta,AU,2021-07-16 22:34:09,-32.5,137.7667,48.7,68,99,12.3
138,Cherskiy,RU,2021-07-16 22:34:09,68.75,161.3,62.53,36,34,13.31
139,Henties Bay,NA,2021-07-16 22:25:55,-22.116,14.2845,66.85,56,7,3.09
140,Diffa,NE,2021-07-16 22:34:10,13.3154,12.6113,86.05,56,83,17.31
141,Karratha,AU,2021-07-16 22:34:10,-20.7377,116.8463,60.84,33,12,13.04
142,Vostok,RU,2021-07-16 22:34:10,46.4856,135.8833,76.87,69,6,5.06
143,Lieksa,FI,2021-07-16 22:34:11,63.3167,30.0167,55.62,70,0,7.29
144,Port Macquarie,AU,2021-07-16 22:34:11,-31.4333,152.9167,61.38,53,0,15.03
145,Teguise,ES,2021-07-16 22:34:12,29.0605,-13.564,66.42,83,20,16.11
146,Kavaratti,IN,2021-07-16 22:34:12,10.5669,72.642,82.65,75,88,16.06
147,New Norfolk,AU,2021-07-16 22:32:53,-42.7826,147.0587,42.93,93,26,2.57
148,Pafos,CY,2021-07-16 22:29:23,34.7667,32.4167,78.71,94,0,5.75
149,Vangaindrano,MG,2021-07-16 22:34:13,-23.35,47.6,67.53,85,98,5.1
150,Ha Tinh,VN,2021-07-16 22:34:13,18.3333,105.9,77.36,89,6,3.85
151,Kieta,PG,2021-07-16 22:33:50,-6.2167,155.6333,84.58,72,100,7.07
152,Ca Mau,VN,2021-07-16 22:34:14,9.1769,105.15,76.26,87,100,3.58
153,Ahipara,NZ,2021-07-16 22:34:14,-35.1667,173.1667,62.11,90,100,24.43
154,Provideniya,RU,2021-07-16 22:34:15,64.3833,-173.3,46.89,97,100,6.87
155,Hailey,US,2021-07-16 22:34:15,43.5196,-114.3153,89.91,16,1,6.91
156,Athabasca,CA,2021-07-16 22:34:15,54.7169,-113.2854,69.49,33,59,10.96
157,Gotsu,JP,2021-07-16 22:34:16,35.0,132.2167,76.89,83,89,8.57
158,Mahebourg,MU,2021-07-16 22:34:16,-20.4081,57.7,71.26,83,40,11.5
159,Upernavik,GL,2021-07-16 22:34:16,72.7868,-56.1549,40.77,96,100,21.23
160,Saint George,US,2021-07-16 22:34:17,37.1041,-113.5841,100.44,29,1,1.99
161,Mishelevka,RU,2021-07-16 22:34:17,52.8575,103.1719,63.39,85,25,5.37
162,Taoudenni,ML,2021-07-16 22:34:27,22.6783,-3.9836,103.14,18,73,7.4
163,Bambous Virieux,MU,2021-07-16 22:34:38,-20.3428,57.7575,71.22,83,40,11.5
164,Mezen,RU,2021-07-16 22:34:38,65.8522,44.24,52.14,99,91,5.1
165,Faya,SA,2021-07-16 22:34:49,18.3851,42.4509,71.71,33,100,8.59
166,Tuy Hoa,VN,2021-07-16 22:30:07,13.0833,109.3,77.23,83,74,7.56
167,Hambantota,LK,2021-07-16 22:34:49,6.1241,81.1185,78.85,82,66,15.03
168,Tieli,CN,2021-07-16 22:34:50,46.95,128.05,75.74,92,72,5.32
169,Royan,FR,2021-07-16 22:34:50,45.6285,-1.0281,68.04,89,1,8.57
170,Saskylakh,RU,2021-07-16 22:35:00,71.9167,114.0833,41.45,76,100,8.39
171,Bathsheba,BB,2021-07-16 22:35:01,13.2167,-59.5167,81.21,83,40,11.5
172,Kungurtug,RU,2021-07-16 22:35:01,50.5994,97.5228,56.8,81,86,2.62
173,Gold Coast,AU,2021-07-16 22:34:20,-28.0,153.4333,62.78,51,1,3.0
174,Haines Junction,CA,2021-07-16 22:35:05,60.7522,-137.5108,71.55,20,93,5.75
175,Los Llanos De Aridane,ES,2021-07-16 22:31:07,28.6585,-17.9182,70.12,76,0,16.11
176,Broome,US,2021-07-16 22:35:06,42.2506,-75.833,76.37,80,1,9.22
